Index,ZONEID,Date,Time_Index,Day,Date.1,TCWL,TCIW,SP,HUM,TCC,U,V,TEMP,SSRD,STRD,TSR,TP,POWER
1,1,4/1/12 1:00,1,1,20120401 01:00,0.001966858,0.003608704,94843.625,60.22190857,0.244601131,1.039334297,-2.50303936,294.4484863,2577830,1202532,2861797,0,0.754102564
2,1,4/1/12 2:00,2,1,20120401 02:00,0.00552449,0.033574812,94757.9375,54.67860413,0.457137644,2.482865334,-2.993330002,295.6513672,5356093,2446757,5949378,0,0.555
3,1,4/1/12 3:00,3,1,20120401 03:00,0.03011322,0.132008791,94732.8125,61.29489136,0.77142942,3.339866638,-1.982535362,294.4545898,7921788,3681336,8939176,0.001340866,0.438397436
4,1,4/1/12 4:00,4,1,20120401 04:00,0.057167053,0.110645294,94704.0625,67.77528381,0.965866208,3.10610199,-1.446050644,293.2614746,9860520,4921504,11331679,0.002501488,0.145448718
5,1,4/1/12 5:00,5,1,20120401 05:00,0.051026557,0.189559937,94675,70.17298889,0.944668651,2.601145744,-1.904493332,292.7329102,11143097,6254380,13105558,0.003331184,0.111987179
6,1,4/1/12 6:00,6,1,20120401 06:00,0.036995962,0.0990448,94676.9375,72.3740387,0.641353369,1.333368301,-1.728430748,292.0771484,11815767,7558415,14198503,0.003960133,0.05724359
7,1,4/1/12 7:00,7,1,20120401 07:00,0.080911219,0.121322632,94708.0625,81.79873657,0.753142357,1.457922935,-1.034620285,291.0693359,12274591,8798617,14925342,0.004969597,0.088717949
8,1,4/1/12 8:00,8,1,20120401 08:00,0.03615883,0.139068604,94748.8125,87.85406494,0.788338363,2.374826431,-1.089039803,289.0734863,12351290,10041167,15112951,0.006476879,0.030064103
9,1,4/1/12 9:00,9,1,20120401 09:00,0.036372229,0.072608948,94785.8125,88.79348755,0.502274573,1.985530853,-0.963009834,288.03125,12351290,11257316,15112951,0.006724834,0.000128205
10,1,4/1/12 10:00,10,1,20120401 10:00,0.014352933,0.035797119,94817.75,90.45066833,0.501918316,1.999518394,-0.930319786,287.4057617,12351290,12460132,15112951,0.006744862,0
11,1,4/1/12 11:00,11,1,20120401 11:00,0.00538747,0.004501343,94847.375,90.67617798,0.156774283,1.809739113,-0.098176956,286.3208008,12351290,13599879,15112567,0.00674963,0
